alpha,beta,c,r,phi,delta_p,delta_c,pr
0.791997839637214,16,0.2863548571864844,0.00025450621505196066,3.1073289239507754e-07,0.1709664676996353,0.233173930287147,0.9100860542197203
1.1350970685171449,46,0.8976879385599716,0.09740128136985383,6.727411762057453e-06,0.25207105860229045,0.29887503209544397,0.9134321986069444
1.010054724526395,30,0.3947818452130507,2.4821245134483985e-05,8.237812634616314e-06,0.2820738202511065,0.27412528715458373,0.23198477430021416
0.8673458399491759,36,0.31772390904503156,0.00039097447325205933,5.059614201446278e-08,0.2427589310837018,0.25963335692290274,0.6759075440396418
0.8449224285782605,7,0.9340840542134273,3.23719837139415e-05,6.92758926200539e-06,0.24852192337674517,0.2804713790574487,0.7336131529268808
1.103574820413904,10,0.4447854588059843,2.2821776935645706e-05,1.652251042776989e-07,0.2911641307212822,0.18368302473742024,0.056046467912019456
1.181408898359384,40,0.15843573374506537,0.01588414517094185,2.7720913961153615e-06,0.16123798445928347,0.1520180697935961,0.2868569615662508
1.1885890507886367,15,0.6481404476591496,0.00011508952273905801,6.13668832637013e-08,0.1785728789871096,0.17857017712907103,0.5578016435482165
1.0441908072990986,28,0.3394802152838204,0.009330408558436734,2.0521878361644864e-08,0.2981151223304923,0.1725108205188478,0.20357092499347457
0.8869207064880825,35,0.4540574779514443,0.018702308950741067,2.462927947923414e-06,0.1693108986983046,0.2654492218110903,0.3277591971629011
0.8928755943239273,31,0.2624136567810059,6.959782032915731e-05,7.525513100747109e-07,0.22621476888302872,0.2302099812518661,0.30985702964488143
1.0130511188179145,49,0.9204375052452884,1.718762519619111e-05,1.942515569696263e-08,0.29060107800427365,0.29026786986987274,0.5712600615331872
0.8921567858164651,17,0.07797074281489336,0.04796535192295139,1.82579065488304e-07,0.25961047756209443,0.15673886149721977,0.8466393558795314
0.9594693890114514,40,0.5946082191060158,0.075463338308689,8.395612862574492e-08,0.19662957345457044,0.24192516210718346,0.757534542437314
0.9097706260492877,27,0.5161856818405638,0.026589326360247585,1.2148514996502706e-07,0.1514404322472714,0.2907254076652195,0.8600560951461484
1.2488697042790327,40,0.10189264074201028,0.011795717260042762,3.053006522041119e-08,0.2656150096094313,0.22229712564902773,0.4665890613495064
0.9993044666903595,27,0.25212287903615715,1.7584197274047683e-05,3.2941788486714035e-08,0.2556783956524781,0.15356692327511023,0.6583319599527733
0.8400131046960598,19,0.33723276856441997,0.012116546131759632,8.584532289934478e-08,0.2431112518917783,0.29145422125578435,0.3113633306167303
1.1645451893926102,20,0.7747562560186537,0.061502765702475246,5.997418321849767e-07,0.17905563049862677,0.17046784942281484,0.4413615642866369
1.206023779315594,7,0.2599434456331664,0.0013479082556617167,7.576300875762046e-07,0.2028395981063128,0.25625533108719806,0.4354328037915508
0.8131903855965121,38,0.4704576616768152,1.424805857866754e-05,3.32565552652086e-06,0.29171918499189775,0.23613344007187623,0.8128457818539391
0.8462569080698364,12,0.013867391285272946,6.126469226114881e-05,2.2341120796880103e-08,0.2531837466586623,0.19858106605243434,0.8421978094008231
1.043797768729609,11,0.9438706936445784,0.0003048460828280393,2.3544050777923468e-08,0.1543326149094734,0.1691380427922889,0.589646098909677
1.1031005054094547,22,0.24345815114369618,0.0008343160052631413,7.090039623875809e-08,0.23555523849290871,0.20778179530401836,0.7320453075241792
0.9128205040042467,25,0.6594580236125297,0.007403334592911053,9.591733163594181e-07,0.2611402232691944,0.17604703855190207,0.41362129050186264
0.7773730293975185,43,0.16269346095423004,0.06767852661204928,8.764647174478043e-08,0.18795954649731067,0.23987026112129833,0.06205298689651712
1.1827628695919241,33,0.13039152688747926,0.000888188325430886,2.6643292227316925e-08,0.15842826710499816,0.2908889250526674,0.5368729771585173
0.9684108898221184,41,0.5739651097640031,1.210114579218406e-05,6.789536155968384e-08,0.18887749910140214,0.2154875075939486,0.6993104663895006
1.1824580335448416,40,0.4841987580055456,0.05385912011195057,1.2834874918645038e-06,0.2303964675123354,0.1560052136464024,0.7274664122880209
1.1543733686079383,12,0.5791535937153406,0.0626000234516801,6.997244488200817e-06,0.15629944039179502,0.18224856068879294,0.15561179342191953
1.1608328033989106,5,0.5930428300971902,3.6905210428506366e-05,6.543223640803878e-08,0.1712397121262003,0.2942668634591663,0.221383372426898
0.7615235962556938,23,0.9150737563919391,0.0106390859123295,2.8347784829655763e-08,0.2047897069107637,0.18257626855882186,0.9963154990014412
0.8382503845680437,44,0.18984347689296793,0.00014442455639358383,4.377204764064926e-08,0.21468444983630414,0.28012735163317903,0.3676445971661838
0.7857292079616456,43,0.22628149997560706,0.0008226852563441966,5.3146953882172024e-08,0.296477354335689,0.28394908756233306,0.3158260924471608
